"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Caretta caretta","2018-01-26 10:12:39 -0600","","Sinaloa, MX",23.2732904747,-106.4189742722,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/9655633","https://static.inaturalist.org/photos/13191219/medium.jpg?1517234522","cotonpinto",9655633,"","Reptilia",39665,"false",0,0,"Fri Jan 26 2018 10:12:39 GMT-0600 (CST)","2018-01-26","2018-01-26 16:12:39 UTC","Central Time (US & Canada)",22,"Calle Boca del Mar, Mazatlán, SIN, MX","","true","","","false",11152,"2018-01-29 14:01:49 UTC","2018-01-29 14:30:49 UTC","needs_id","CC-BY-NC",3,"false"
"Caretta caretta","2007-03-04 11:59:00 -0700","","Quintana Roo, MX",19.6985613224,-87.4721088856,"Mexico 2007, Sea Life","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/9644501","https://static.inaturalist.org/photos/13172183/medium.jpg?1517161773","jay",9644501,"Loggerhead Sea Turtle","Reptilia",39665,"false",2,0,"2007/03/04 11:59 AM MST","2007-03-04","2007-03-04 18:59:00 UTC","Mountain Time (US & Canada)",1970,"Quintana Roo, MX","","true","","","false",4530,"2018-01-28 17:49:59 UTC","2018-01-29 01:16:38 UTC","research","CC-BY-NC",NA,"false"
"Caretta caretta","2015-02-27 09:52:00 -0600","","Espírito Santo, BR",-19.6343522539,-39.9506620157,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/9562666","https://static.inaturalist.org/photos/13051199/medium.jpeg?1516636454","lepidochelys",9562666,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2015/02/27 9:52 AM CST","2015-02-27","2015-02-27 15:52:00 UTC","Central Time (US & Canada)",122,"Regência, Espírito Santo, Brasil","","true","","","false",751531,"2018-01-22 15:57:15 UTC","2018-01-25 04:18:12 UTC","research","CC-BY-NC",NA,"false"
"Caretta caretta","2018-01-15 10:48:15 +0530","","Sri Lanka",6.384627161,80.1108663048,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/9535706","https://static.inaturalist.org/photos/13006005/medium.jpeg?1516427701","joelle238",9535706,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2018-01-15 10:48:15 AM GMT+05:30","2018-01-15","2018-01-15 05:18:15 UTC","Chennai",NA,"AH43, Kosgoda, Sri Lanka","","true","gps","gps","false",745278,"2018-01-20 05:54:51 UTC","2018-01-21 10:35:23 UTC","research","CC-BY-NC",2,"false"
"Caretta caretta","2010-05-18 05:38:00 -0500","","Georgia, US",31.4637023964,-81.2499308715,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/9490295","https://static.inaturalist.org/photos/12921053/medium.jpg?1516068885","groverbrown",9490295,"Loggerhead Sea Turtle","Reptilia",39665,"false",2,0,"2010/05/18 5:38 AM CDT","2010-05-18","2010-05-18 10:38:00 UTC","Central Time (US & Canada)",61,"McIntosh County, GA, USA","obscured","true","","","false",385210,"2018-01-16 02:18:28 UTC","2018-01-16 02:41:59 UTC","research","CC-BY-NC",NA,"false"
"Caretta caretta","2018-01-05 11:31:09 +0100","","Italy",45.6971591135,13.494012965,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/9430864","https://static.inaturalist.org/photos/12818777/medium.jpeg?1515605363","davide2",9430864,"Tartaruga caretta","Reptilia",39665,"false",2,0,"2018-01-05 11:31:09 AM CET","2018-01-05","2018-01-05 10:31:09 UTC","Paris",NA,"34073 Grado GO, Italia","","true","gps","gps","false",145387,"2018-01-10 17:27:28 UTC","2018-01-14 08:54:02 UTC","research","",2,"false"
"Caretta caretta","1985-12-30 06:06:00 -0700","Recent reports of cold-stunned turtles in Florida twigged a memory of this sighting back in Dec 1985. This little turtle, about the size of the palm of my hand, was floating listlessly on the surface between Mosquito Bank and Molasses Reef.","Florida, US",25.0790509389,-80.2415210705,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/9410741","https://static.inaturalist.org/photos/12783566/medium.jpeg?1515416830","mtncatt",9410741,"Loggerhead Sea Turtle","Reptilia",39665,"false",0,0,"1985/12/30 6:06 AM MST","1985-12-30","1985-12-30 13:06:00 UTC","Mountain Time (US & Canada)",488,"Monroe County, FL, USA","","true","","","false",5240,"2018-01-08 13:32:02 UTC","2018-01-08 14:05:16 UTC","needs_id","CC-BY",NA,"false"
"Caretta caretta","2012-08-03 02:00:00 +0200","","",38.3642088425,-28.2361548417,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/9402595","https://static.inaturalist.org/photos/12777288/medium.jpeg?1515380336","stanvrem",9402595,"Caretta caretta","Reptilia",39665,"false",0,0,"2012-08-03T00:00:00+00:00","2012-08-03","2012-08-03 00:00:00 UTC","Amsterdam",1000,"Azores, PT","","true","","","false",615980,"2018-01-08 02:58:57 UTC","2018-01-08 16:10:22 UTC","needs_id","CC-BY-NC",NA,"false"
"Caretta caretta","2017-08-20 12:50:00 -0500","","United States",35.3213994892,-75.564821892,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/9381817","https://static.inaturalist.org/photos/12743490/medium.jpg?1515248842","airalcorn2",9381817,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2017/08/20 12:50 PM CDT","2017-08-20","2017-08-20 17:50:00 UTC","Central Time (US & Canada)",NA,"Buxton, NC 27920, USA","","true","","","false",1651,"2018-01-06 14:42:56 UTC","2018-01-13 19:48:56 UTC","research","CC-BY",NA,"false"
"Caretta caretta","2009-09-13 11:03:18 +0300","<a href=""http://en.wikipedia.org/wiki/Caretta_caretta"" rel=""nofollow"">en.wikipedia.org/wiki/Caretta_caretta</a>
They are named for their disproportionately large head. Grows up to 800 lbs (364 kg) and 3.5 feet (1.1 m) long. Nesting on Dalyan beach.","Mugla, TR",36.8752328788,28.6339968337,"Loggerhead, Sea, Turtle, Caretta caretta, Turkey, Dalyan, Türkiye, <U+0422><U+0443><U+0440><U+0446><U+0438><U+044F>, <U+043F><U+0440><U+0438><U+0440><U+043E><U+0434><U+0430>, doga, Caretta caretta (Loggerhead ) turtle","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/9293306","https://static.inaturalist.org/photos/12599169/medium.jpg?1514550561","katya",9293306,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2009-09-13 11:03:18","2009-09-13","2009-09-13 08:03:18 UTC","Sofia",NA,"Dalyan, Mugla, Turkey","","true","","","false",215001,"2017-12-29 12:29:31 UTC","2017-12-31 21:49:42 UTC","research","CC-BY-SA",NA,"false"
