Column Name,Meta Data,Minimal,Default,Custom
gbifID,Gbif ID of Occurrence,0,0,1
abstract,x,0,0,1
accessRights,Access Rights,0,0,1
accrualMethod,x,0,0,1
accrualPeriodicity,x,0,0,1
accrualPolicy,x,0,0,1
alternative,x,0,0,1
audience,x,0,0,1
available,x,0,0,1
bibliographicCitation,Bibliographic Citation of occurrence,0,0,1
conformsTo,x,0,0,1
contributor,x,0,0,1
coverage,x,0,0,1
created,Date occurrence was Created,0,0,1
creator,x,0,0,1
date,Date occurrence occurred,0,0,1
dateAccepted,Date occurrence was accepted,0,0,1
dateCopyrighted,Date occurrence was copyrighted,0,0,1
dateSubmitted,x,0,0,1
description,x,0,0,1
educationLevel,x,0,0,1
extent,x,0,0,1
format,x,0,0,1
hasFormat,x,0,0,1
hasPart,x,0,0,1
hasVersion,x,0,0,1
identifier,x,0,0,1
instructionalMethod,x,0,0,1
isFormatOf,x,0,0,1
isPartOf,x,0,0,1
isReferencedBy,x,0,0,1
isReplacedBy,x,0,0,1
isRequiredBy,x,0,0,1
isVersionOf,x,0,0,1
issued,x,0,0,1
language,x,0,0,1
license,x,0,0,1
mediator,x,0,0,1
medium,x,0,0,1
modified,x,0,0,1
provenance,x,0,0,1
publisher,x,0,0,1
references,References,0,1,1
relation,x,0,0,1
replaces,x,0,0,1
requires,x,0,0,1
rights,x,0,1,1
rightsHolder,x,0,1,1
source,x,0,0,1
spatial,x,0,0,1
subject,x,0,0,1
tableOfContents,x,0,0,1
temporal,x,0,0,1
title,x,0,0,1
type,x,0,0,1
valid,x,0,0,1
institutionID,ID of institution occurrence was collected with,0,0,1
collectionID,ID of collection occurrence is a part of,0,0,1
datasetID,ID of dataset occurrence is a part of,0,0,1
institutionCode,Code of institution occurrence was collected with,0,1,1
collectionCode,Code of collection occurrence is a part of,0,0,1
datasetName,Name of Dataset,0,0,1
ownerInstitutionCode,x,0,0,1
basisOfRecord,x,0,0,1
informationWithheld,x,0,1,1
dataGeneralizations,x,0,0,1
dynamicProperties,x,0,0,1
occurrenceID,ID of occurrence,0,0,1
catalogNumber,x,0,1,1
recordNumber,x,0,0,1
recordedBy,x,0,0,1
individualCount,x,0,0,1
organismQuantity,x,0,0,1
organismQuantityType,x,0,0,1
sex,Sex of observed organism,0,1,1
lifeStage,Lifestage of observed organism,0,1,1
reproductiveCondition,Reproductive Condition of observed organism,0,0,1
behavior,behavior of observed organism,0,0,1
establishmentMeans,x,0,0,1
occurrenceStatus,x,0,0,1
preparations,x,0,0,1
disposition,x,0,0,1
associatedReferences,x,0,0,1
associatedSequences,x,0,0,1
associatedTaxa,x,0,0,1
otherCatalogNumbers,x,0,0,1
occurrenceRemarks,x,0,0,1
organismID,ID of organism,0,0,1
organismName,x,0,0,1
organismScope,x,0,0,1
associatedOccurrences,x,0,0,1
associatedOrganisms,x,0,0,1
previousIdentifications,x,0,0,1
organismRemarks,x,0,0,1
materialSampleID,x,0,0,1
eventID,x,0,0,1
parentEventID,x,0,0,1
fieldNumber,x,0,0,1
eventDate,Event Date,0,0,1
eventTime,Event Time,0,0,1
startDayOfYear,x,0,0,1
endDayOfYear,x,0,0,1
year,Year of observation,0,0,1
month,Month of observation,0,0,1
day,Day of observation,0,0,1
verbatimEventDate,Date of observation,0,1,1
habitat,x,0,0,1
samplingProtocol,x,0,0,1
samplingEffort,x,0,0,1
sampleSizeValue,x,0,0,1
sampleSizeUnit,x,0,0,1
fieldNotes,x,0,0,1
